date,day_of_the_week,meal_type,staff_member_id
2026-09-02 15:37:18,6,Lunch,5
2024-05-29 13:57:03,8,Lunch,174
2025-04-12 16:37:14,5,Dinner,110
2027-08-23 15:54:34,3,breakfast,6
2026-05-01 20:58:24,6,Lunch,192
2024-12-12 01:56:18,8,Lunch,122
2025-10-15 22:31:40,7,Lunch,189
2026-10-17 21:36:42,9,Lunch,151
2024-06-24 03:50:16,3,Lunch,72
2024-11-26 02:01:16,5,Lunch,200
2026-12-18 04:02:08,4,Dinner,78
2026-10-03 21:36:26,7,breakfast,82
2026-03-09 19:11:03,8,Lunch,151
2026-12-24 09:55:17,5,Dinner,151
2024-07-16 07:28:16,7,Dinner,119
2026-10-13 19:10:07,4,Lunch,97
2024-05-25 11:18:25,3,Lunch,20
2025-06-10 09:25:46,2,Lunch,87
2024-12-18 21:02:16,9,Lunch,57
2027-10-18 23:22:10,8,Dinner,197
2025-06-01 19:25:22,4,Dinner,33
2026-08-12 06:51:01,2,breakfast,92
2026-01-20 00:46:26,8,Lunch,140
2027-05-20 20:14:27,10,Dinner,138
2026-11-21 20:17:06,2,breakfast,84
2026-11-01 10:45:15,9,breakfast,9
2025-12-10 07:05:05,10,Lunch,43
2026-06-19 10:58:21,1,Lunch,8
2024-07-11 02:03:07,4,breakfast,148
2024-11-09 03:35:35,3,breakfast,118
2025-03-20 07:58:10,8,Dinner,154
2025-02-05 01:57:35,4,Dinner,59
2026-12-18 17:13:27,10,Lunch,141
2027-03-24 00:01:29,4,breakfast,109
2026-12-16 12:21:39,1,Lunch,45
2027-07-16 00:22:34,6,Dinner,196
2025-04-22 15:08:54,2,Lunch,175
2027-03-21 02:19:52,6,Dinner,125
2025-02-27 23:37:52,3,Lunch,124
2026-10-14 02:02:56,4,Lunch,50
2025-10-24 20:15:04,4,Dinner,20
2025-06-22 09:02:22,6,breakfast,87
2026-02-07 00:06:28,8,Dinner,7
2024-04-10 11:58:38,10,Dinner,139
2024-06-11 18:42:49,4,Lunch,3
2025-01-19 12:09:20,4,Dinner,77
2024-08-13 00:58:34,10,Dinner,85
2024-07-05 03:39:25,3,breakfast,115
2027-08-26 16:27:18,10,breakfast,104
2026-11-23 21:10:37,1,Lunch,111
2027-06-11 04:56:56,1,breakfast,60
2026-06-25 14:09:50,10,Dinner,153
2025-08-17 16:42:11,5,Dinner,65
2026-08-31 23:05:53,2,Dinner,164
2025-09-16 22:28:55,9,breakfast,63
2027-02-06 15:02:41,6,Dinner,168
2025-07-17 07:17:40,2,Lunch,168
2027-03-11 05:28:43,5,Lunch,85
2025-10-07 14:35:36,6,breakfast,92
2024-06-02 08:18:39,5,Dinner,172
2027-10-23 21:58:43,10,Lunch,19
2025-02-22 15:14:58,2,Dinner,194
2024-07-30 15:15:40,7,Dinner,19
2025-01-30 08:36:29,5,Lunch,79
2024-11-19 16:38:06,2,breakfast,136
2024-10-28 03:27:30,9,Lunch,9
2025-09-24 01:57:14,4,Dinner,104
2027-09-30 10:37:21,10,breakfast,25
2024-12-06 05:06:51,2,Dinner,167
2025-09-03 06:01:49,4,breakfast,33
2026-11-16 07:19:53,2,Dinner,182
2025-08-13 06:10:37,4,Dinner,133
2024-06-20 02:17:51,8,Lunch,103
2024-10-15 08:19:19,6,Lunch,120
2025-06-07 19:23:18,9,Dinner,130
2026-04-26 19:12:11,8,Lunch,114
2026-02-08 20:02:04,5,breakfast,175
2026-05-27 07:43:27,1,breakfast,62
2026-09-08 23:00:03,7,Dinner,69
2027-02-26 22:37:08,4,Dinner,92
2024-12-04 12:22:49,7,Lunch,156
2027-02-08 19:44:28,7,breakfast,170
2026-08-10 00:23:24,10,Dinner,39
2024-09-03 02:41:54,5,Dinner,59
2026-08-28 19:04:54,10,breakfast,68
2025-12-29 11:32:03,10,Dinner,5
2027-03-21 22:17:28,1,Lunch,129
2025-05-13 20:41:01,4,Dinner,152
2024-05-20 14:41:26,6,breakfast,190
2025-02-09 05:35:50,5,Lunch,117
2024-12-29 03:31:03,3,breakfast,159
2025-08-25 20:52:12,9,Lunch,185
2026-10-13 19:01:03,4,Lunch,42
2025-03-23 02:55:57,1,breakfast,92
2025-07-13 03:12:10,3,Lunch,141
2025-02-21 18:48:25,1,Dinner,5
2026-12-07 18:38:52,2,Dinner,56
2027-10-18 04:27:02,7,Dinner,147
2024-11-26 18:00:14,8,Lunch,191
2024-06-23 06:56:51,8,Lunch,101
2024-04-22 08:58:20,10,breakfast,116
2026-10-21 08:51:45,2,Dinner,30
2027-10-08 09:34:04,2,breakfast,181
2024-06-19 15:15:29,9,Lunch,139
2025-02-02 19:37:28,4,Lunch,66
2025-10-18 14:46:28,2,Lunch,43
2027-08-31 06:16:59,3,Lunch,42
2024-05-05 15:20:26,9,Dinner,93
2027-04-28 11:56:06,8,breakfast,58
2027-02-17 08:00:17,8,breakfast,34
2024-09-14 09:43:08,3,Lunch,80
2025-12-12 22:46:27,6,breakfast,64
2024-04-19 06:45:04,8,breakfast,82
2024-08-03 06:13:27,8,breakfast,110
2024-08-02 05:16:01,1,Dinner,109
2026-04-28 22:01:21,1,Lunch,84
2027-02-10 18:15:26,6,breakfast,2
2026-11-15 17:24:25,7,breakfast,130
2025-01-27 17:12:41,6,breakfast,159
2024-07-09 23:35:17,3,Dinner,66
2024-06-08 19:08:57,7,Lunch,18
2026-11-02 17:28:41,5,breakfast,140
2026-09-21 23:17:05,5,Lunch,186
2027-03-06 01:26:33,1,breakfast,148
2025-11-28 13:59:12,9,Dinner,60
2026-02-13 12:38:56,9,Lunch,47
2027-06-27 16:35:22,1,Dinner,107
2027-03-23 19:24:16,2,Dinner,98
2024-12-04 11:06:16,5,Dinner,136
2027-04-20 13:43:52,1,Lunch,65
2024-07-23 18:41:06,8,breakfast,11
2026-08-01 12:34:22,9,breakfast,68
2025-09-15 12:01:52,7,Lunch,79
2026-09-12 05:21:03,6,Lunch,98
2024-10-16 20:00:45,6,Lunch,171
2027-07-30 00:57:00,6,breakfast,69
2024-07-28 18:24:12,1,Lunch,70
2026-08-30 04:29:39,4,breakfast,47
2027-04-29 05:22:38,4,Dinner,57
2027-01-24 22:53:39,1,Dinner,188
2026-05-21 06:16:26,5,Lunch,188
2025-06-21 00:31:18,4,breakfast,185
2025-07-05 11:42:28,6,Dinner,1
2026-05-05 06:52:33,1,Dinner,67
2026-01-29 16:20:09,3,breakfast,33
2026-08-14 19:38:44,8,Dinner,175
2027-07-15 08:32:17,7,Dinner,97
2024-11-29 05:34:50,9,breakfast,52
2026-10-25 07:26:28,1,Lunch,165
2027-07-26 08:26:52,3,Dinner,145
2025-05-03 21:44:50,5,Lunch,119
2026-02-10 05:33:13,4,breakfast,166
2026-08-19 00:13:57,6,Dinner,118
2027-08-18 08:57:23,5,Dinner,70
2025-02-01 13:10:29,3,Lunch,191
2025-08-07 21:43:41,4,breakfast,22
2025-11-20 12:17:12,6,Lunch,132
2025-06-03 00:35:18,5,Lunch,26
2027-06-13 02:47:57,10,Lunch,169
2027-03-22 07:41:21,1,Dinner,172
2025-09-07 06:16:17,3,breakfast,39
2025-11-02 08:22:48,7,Lunch,43
2025-02-01 17:30:52,3,breakfast,138
2025-02-07 17:53:32,10,Dinner,67
2026-04-20 17:36:35,3,Dinner,111
2027-10-12 08:04:17,8,breakfast,88
2025-04-09 08:31:47,6,Lunch,140
2025-11-05 08:11:37,5,Dinner,159
2025-01-21 11:21:22,2,Dinner,102
2025-09-08 11:24:18,9,Dinner,187
2027-03-21 08:11:52,1,breakfast,150
2025-02-28 10:45:57,4,Lunch,33
2024-09-16 14:22:14,5,Dinner,109
2024-04-17 12:05:42,3,Lunch,100
2026-06-03 19:24:25,7,Dinner,167
2024-08-12 14:59:52,3,Lunch,97
2025-12-23 03:54:41,7,Dinner,135
2027-02-01 23:59:59,4,Dinner,99
2025-10-30 21:08:33,8,breakfast,179
2027-04-11 06:01:07,4,Dinner,179
2026-02-18 02:58:18,2,Lunch,111
2026-11-10 00:03:18,3,Lunch,56
2027-04-17 08:25:55,9,Lunch,105
2025-02-02 11:00:54,8,Lunch,100
2025-06-11 10:25:06,4,breakfast,117
2025-06-30 17:00:08,5,breakfast,137
2024-11-09 03:19:17,5,Lunch,8
2027-09-26 03:20:41,10,Dinner,75
2025-11-23 07:57:06,5,Dinner,6
2025-06-01 08:54:53,2,Lunch,122
2026-07-29 16:49:27,3,breakfast,75
2026-08-06 07:39:09,8,breakfast,45
2026-07-26 13:47:47,7,Lunch,175
2026-08-27 23:52:21,3,breakfast,3
2026-11-20 23:37:01,7,breakfast,200
2024-04-29 15:08:03,4,Lunch,85
2025-09-18 00:34:59,1,breakfast,114
2025-09-26 02:31:23,3,Lunch,61
2025-07-29 17:20:33,1,breakfast,43
2026-08-20 05:56:08,2,Lunch,93
2024-09-29 08:16:25,9,breakfast,82
2026-03-23 08:25:30,7,breakfast,15
2025-06-08 16:00:09,9,Dinner,34
2024-12-07 18:56:49,4,breakfast,139
2027-10-07 09:50:35,6,Dinner,96
2027-05-24 11:31:22,9,Dinner,9
2027-01-19 01:27:41,7,Dinner,16
2024-12-22 17:49:28,10,Dinner,42
2025-03-30 04:21:25,10,breakfast,99
2025-11-21 19:38:11,9,Dinner,4
2026-11-12 07:39:49,3,Dinner,29
2025-02-02 03:23:27,8,breakfast,199
2027-09-08 19:44:04,5,Lunch,25
2025-05-29 23:08:55,10,Dinner,53
2025-11-18 09:26:21,8,breakfast,14
2024-07-09 17:41:30,8,Dinner,167
2025-01-16 01:26:40,8,breakfast,2
2026-05-05 01:27:19,10,Lunch,50
2024-10-06 03:41:10,3,Lunch,196
2025-02-06 04:36:14,9,Dinner,47
2027-01-24 12:09:54,8,Lunch,28
2024-04-30 19:22:48,8,Dinner,99
2024-07-02 05:15:06,8,Dinner,87
2027-03-26 07:32:57,5,Dinner,79
2027-07-15 20:48:19,2,Lunch,147
2026-03-27 04:04:28,5,Lunch,31
2025-09-13 19:42:22,9,Lunch,36
2025-11-11 05:09:00,10,Dinner,145
2026-11-21 14:39:55,9,breakfast,64
2027-09-04 00:15:38,8,Dinner,126
2024-08-26 18:51:15,2,breakfast,114
2026-03-07 21:57:49,2,breakfast,188
2027-07-07 11:58:03,8,Dinner,48
2024-06-10 05:34:12,5,breakfast,3
2027-04-08 16:34:46,3,Dinner,21
2024-10-02 04:43:43,10,Dinner,14
2027-07-22 15:45:39,10,Lunch,188
2026-01-19 18:22:42,2,Dinner,179
2025-02-15 05:58:05,10,Lunch,123
2025-07-31 11:43:34,9,breakfast,21
2027-04-25 09:17:34,4,Dinner,49
2025-12-24 09:36:04,5,Dinner,29
2026-12-27 03:34:38,6,Dinner,193
2025-11-16 03:24:34,1,breakfast,25
2025-01-23 10:39:18,2,Dinner,48
2024-12-06 04:40:03,2,Lunch,163
2026-10-29 04:40:56,3,Lunch,50
2027-05-17 07:08:54,4,Lunch,11
2027-04-20 03:12:36,7,Dinner,191
2026-07-12 00:28:11,9,breakfast,161
2026-08-15 12:50:19,2,breakfast,181
2025-08-09 11:59:29,2,breakfast,131
2025-06-29 13:54:18,5,Dinner,62
2025-09-05 00:59:41,7,Dinner,14
2026-11-01 19:08:38,1,breakfast,46
2026-01-03 09:54:18,2,breakfast,165
2024-04-16 00:22:09,9,breakfast,199
2025-07-06 23:45:50,4,Dinner,53
2026-12-23 15:03:38,10,Dinner,161
2026-06-03 08:13:59,4,Lunch,193
2025-01-08 11:18:23,6,breakfast,33
2024-09-11 05:35:59,9,Lunch,52
2025-11-24 23:55:25,3,Dinner,93
2025-06-22 00:54:34,10,Dinner,99
2024-04-09 20:12:24,2,Lunch,135
2025-03-21 01:03:34,6,Dinner,142
2026-09-10 09:16:16,10,Lunch,198
2024-09-03 14:05:07,3,Dinner,87
2024-04-24 22:10:34,7,Lunch,131
2024-09-06 11:31:25,10,breakfast,50
2024-08-05 06:59:32,5,breakfast,34
2024-09-05 17:12:54,2,breakfast,87
2027-10-09 19:46:27,8,breakfast,126
2025-04-07 18:56:55,10,breakfast,58
2024-09-28 07:30:42,9,Dinner,30
2026-11-30 17:49:33,9,Lunch,3
2026-11-28 15:36:17,4,breakfast,44
2025-03-06 11:20:24,5,breakfast,3
2024-08-12 02:29:57,1,breakfast,171
2026-02-18 12:11:40,9,Dinner,158
2027-09-18 09:56:09,8,Lunch,124
2026-09-11 21:08:59,2,Dinner,81
2027-01-18 17:03:35,7,Dinner,56
2027-05-09 16:36:06,8,breakfast,45
2026-05-01 09:43:47,8,Lunch,130
2024-10-05 15:25:25,3,Lunch,119
2024-12-05 01:53:19,9,Dinner,66
2025-06-30 16:22:08,4,breakfast,113
2024-08-12 18:35:22,9,Dinner,136
2024-09-03 04:28:27,3,breakfast,157
2025-03-12 20:19:14,4,Dinner,132
2024-04-06 15:58:37,7,Dinner,109
2026-05-16 20:55:23,4,breakfast,200
2027-09-02 17:09:18,2,Dinner,98
2025-03-30 09:56:51,5,Lunch,123
2024-08-06 10:54:21,4,Lunch,43
2024-07-07 05:57:04,4,Lunch,102
2027-04-13 05:12:17,2,breakfast,149
2024-09-20 04:00:18,5,breakfast,87
2026-08-24 03:15:38,4,Lunch,106
2026-08-26 16:55:50,7,Dinner,45
2024-12-31 18:03:25,6,Lunch,28
2027-06-13 14:35:43,2,breakfast,199
2026-12-23 02:19:56,4,Dinner,169
2026-07-09 01:31:07,10,Dinner,34
2024-05-24 12:28:46,4,Dinner,175
2024-05-17 22:28:11,6,Lunch,41
2024-06-13 22:44:02,4,breakfast,171
2026-01-16 10:09:22,10,breakfast,113
2025-05-24 05:45:50,9,Lunch,176
2024-08-29 05:29:51,8,Lunch,181
2027-09-07 11:20:36,7,Lunch,114
2025-09-18 07:26:58,4,Dinner,67
2027-10-09 19:26:40,1,Lunch,151
2025-08-14 23:05:52,2,Lunch,131
2025-07-16 03:13:38,4,breakfast,31
2027-05-19 14:32:52,10,breakfast,155
2026-11-18 02:26:43,5,Dinner,77
2024-04-27 15:05:10,6,breakfast,175
2026-10-20 06:46:58,4,Lunch,85
2024-10-11 11:05:34,4,Lunch,125
2026-08-29 04:19:51,7,breakfast,103
2027-06-02 02:27:45,1,Dinner,138
2027-03-28 04:35:11,2,breakfast,166
2025-09-10 05:57:41,2,Lunch,20
2026-07-22 16:18:59,7,breakfast,174
2026-12-17 12:16:16,4,breakfast,97
2024-05-29 14:28:05,4,Dinner,189
2025-02-12 20:30:08,5,Lunch,139
2025-11-20 01:38:52,3,Lunch,1
2025-11-22 13:26:13,5,Lunch,101
2025-04-13 00:31:08,9,Lunch,175
2025-10-27 05:23:09,1,breakfast,5
2027-02-16 06:44:00,2,Dinner,51
2025-05-01 02:50:18,5,breakfast,99
2025-03-28 08:01:55,5,breakfast,119
2025-09-13 02:35:44,5,Lunch,195
2025-10-26 22:18:41,8,Lunch,138
2025-02-12 02:32:06,9,Lunch,134
2024-06-25 10:12:23,8,breakfast,57
2026-12-20 20:08:27,7,Dinner,147
2024-04-21 23:52:17,2,Lunch,156
2027-08-14 11:25:07,1,breakfast,116
2027-09-20 01:49:58,10,breakfast,90
2024-10-26 07:03:11,7,Dinner,91
2024-10-17 19:33:55,5,breakfast,140
2024-05-31 07:14:22,2,breakfast,174
2026-08-19 15:06:13,9,Dinner,7
2025-08-05 05:47:19,2,Dinner,168
2027-07-27 13:57:14,10,breakfast,7
2024-07-07 23:02:29,9,Lunch,67
2026-04-01 04:11:27,9,breakfast,15
2024-11-24 14:20:21,4,breakfast,157
2027-01-10 22:10:56,9,Lunch,125
2026-10-20 17:57:50,6,Lunch,161
2027-02-08 23:55:00,9,Lunch,170
2027-08-20 13:27:32,2,breakfast,96
2026-01-24 05:49:33,1,Dinner,167
2024-05-04 05:21:40,2,Lunch,85
2025-11-19 09:51:06,4,breakfast,159
2025-08-24 09:40:32,3,Dinner,143
2027-01-25 20:24:47,8,breakfast,33
2025-02-22 13:16:07,1,breakfast,48
2026-02-18 08:54:23,5,Dinner,2
2027-04-27 14:56:56,3,Lunch,132
2024-07-23 08:27:30,7,Dinner,152
2027-09-21 21:50:45,5,Dinner,79
2027-06-29 08:18:48,3,Lunch,101
2024-05-26 12:42:13,3,breakfast,91
2026-06-28 13:07:33,6,Lunch,34
2024-12-25 09:46:11,7,breakfast,152
2026-11-22 13:03:27,8,breakfast,185
2026-09-15 15:14:01,10,Dinner,68
2027-08-05 14:38:34,7,Lunch,171
2025-03-24 19:13:37,7,breakfast,131
2024-07-23 14:59:38,8,Lunch,172
2026-11-19 09:50:42,7,Lunch,160
2026-05-24 05:49:02,4,Lunch,103
2027-08-22 05:10:38,7,Dinner,146
2027-02-01 15:19:48,1,Dinner,155
2026-03-02 13:10:02,7,Dinner,34
2025-04-16 07:11:33,4,breakfast,17
2026-11-26 01:03:51,10,breakfast,9
2024-12-06 00:03:36,9,Lunch,194
2027-01-13 08:21:02,4,Lunch,13
2025-08-21 00:18:15,3,Lunch,124
2025-01-14 08:47:58,6,Lunch,66
2024-04-30 05:13:29,9,breakfast,66
2025-01-30 22:28:16,7,Lunch,197
2027-07-23 03:08:08,1,Lunch,49
2024-04-22 05:08:13,1,Dinner,6
2024-04-16 05:39:35,9,breakfast,10
2027-06-22 01:03:55,10,Lunch,122
2025-09-08 07:49:33,8,breakfast,163
2024-06-27 18:58:46,3,breakfast,43
2027-05-26 06:12:21,5,breakfast,18
2025-04-13 05:43:05,2,Lunch,163
2025-12-03 16:31:21,6,Lunch,108
2025-04-09 18:38:22,10,breakfast,111
2027-08-14 14:49:46,3,breakfast,194
2025-12-16 14:39:37,3,Dinner,156
2026-02-16 10:59:50,3,Lunch,139
2027-07-07 17:30:17,3,Dinner,70
2024-08-23 23:14:16,9,breakfast,178
2025-05-19 05:34:35,3,Lunch,175
2026-11-29 03:33:51,4,breakfast,57
2025-12-27 02:26:30,3,Lunch,81
2026-12-23 09:46:23,5,Lunch,168
2025-01-06 12:12:51,6,Dinner,6
2024-06-23 11:54:22,8,Dinner,12
2025-05-14 11:28:41,10,Dinner,48
2027-01-12 15:56:58,8,Lunch,97
2025-05-11 12:21:56,1,breakfast,103
2024-09-03 10:20:17,3,Lunch,62
2026-06-14 22:14:46,9,Dinner,145
2025-12-08 19:43:21,5,Lunch,163
2026-12-15 00:23:14,4,Lunch,107
2026-01-12 06:21:29,2,Lunch,25
2026-08-30 22:18:40,6,Lunch,51
2026-07-10 20:36:52,4,breakfast,14
2025-04-21 20:17:36,10,Dinner,89
2025-11-30 06:20:01,7,Dinner,20
2026-05-12 02:40:11,6,Dinner,119
2026-01-17 07:51:29,9,Lunch,157
2026-05-29 02:03:43,3,breakfast,136
2024-05-16 23:00:41,1,breakfast,83
2025-02-02 08:34:44,10,Dinner,1
2024-06-04 20:20:09,9,breakfast,169
2026-07-15 11:05:16,1,breakfast,188
2025-07-29 23:46:33,9,breakfast,40
2027-05-05 04:30:45,8,breakfast,95
2027-03-23 18:44:58,6,breakfast,60
2026-04-06 09:54:40,9,Dinner,16
2026-06-19 08:39:55,5,Lunch,198
2025-06-05 16:47:35,3,breakfast,134
2024-06-19 02:00:42,3,Dinner,28
2025-02-18 14:15:39,1,breakfast,143
2026-11-04 17:10:14,6,Lunch,179
2025-05-04 12:43:49,3,Lunch,188
2027-08-09 09:38:19,4,Lunch,181
2024-08-14 20:28:45,9,Lunch,192
2024-05-13 21:45:01,1,Lunch,33
2026-09-26 01:07:15,7,Dinner,155
2026-11-22 21:09:17,3,Dinner,59
2026-06-15 07:55:04,1,breakfast,87
2025-06-26 23:13:12,5,Dinner,97
2027-02-03 23:41:50,5,Dinner,80
2026-04-05 21:47:40,7,breakfast,5
2024-04-23 13:00:36,5,Dinner,65
2025-07-03 10:43:52,8,Dinner,145
2027-08-16 17:11:41,8,breakfast,85
2024-11-01 02:35:49,1,Lunch,147
2024-10-01 16:47:59,9,Dinner,82
2025-09-03 20:32:46,4,breakfast,19
2027-10-28 21:15:38,10,Lunch,51
2027-05-25 15:03:25,9,Lunch,25
2025-05-02 21:58:52,2,Dinner,53
2027-01-25 06:55:41,4,Lunch,149
2026-10-27 22:00:00,6,Lunch,99
2025-04-18 10:41:51,8,Dinner,118
2027-05-05 11:15:17,8,breakfast,103
2024-06-30 09:25:40,3,breakfast,188
2024-10-19 23:53:21,8,Lunch,163
2027-06-29 05:09:01,2,Lunch,156
2025-06-11 06:33:03,8,Dinner,98
2027-03-28 15:51:37,3,Lunch,121
2024-10-28 07:21:45,9,Dinner,136
2025-12-25 15:17:43,2,Dinner,161
2026-05-06 02:23:32,4,breakfast,148
2027-03-04 08:04:58,6,Dinner,35
2026-04-13 21:21:19,5,Lunch,182
2026-08-24 00:07:11,9,Dinner,194
2024-12-06 23:30:13,4,Lunch,126
2026-01-03 03:11:40,10,Dinner,181
2027-01-25 21:11:59,8,breakfast,54
2027-10-02 06:59:35,2,breakfast,39
2024-06-28 02:36:17,2,Lunch,184
2025-07-16 04:06:37,6,Dinner,121
2025-12-12 12:23:27,4,Dinner,141
2024-05-30 07:31:47,9,Dinner,37
2025-11-17 01:36:18,2,Lunch,37
2026-06-19 07:34:50,8,Lunch,48
2025-01-13 14:09:47,5,Lunch,186
2025-02-15 18:19:35,6,Lunch,162
2025-02-19 01:02:50,5,breakfast,144
2027-07-06 11:45:28,4,breakfast,147
2024-10-23 16:28:57,9,breakfast,164
2024-06-05 03:34:35,2,breakfast,155
2025-10-29 17:34:46,10,Lunch,152
2024-12-22 00:19:07,4,Lunch,96
2025-03-22 02:19:46,5,Dinner,197
2026-02-13 22:22:49,6,Dinner,159
2025-03-17 23:40:39,3,breakfast,48
2026-07-19 20:01:08,3,breakfast,36
2026-03-08 12:13:27,7,Lunch,28
2027-07-03 07:44:17,8,breakfast,140
2027-03-28 05:53:09,7,breakfast,195
2026-05-12 13:28:43,1,breakfast,107
2026-04-17 12:17:31,3,Lunch,127
